Host Listings Count,Longitude,Bathrooms,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Calculated host listings count,Reviews per Month,capacity_index,review_index,host_index,review_scores_mean,Price_log,Maximum Nights_log,Minimum Nights_log,Extra People_log,Cleaning Fee_log,Number of Reviews_log,Reviews per Month_log
1.0,-97.86327667821496,1.0,58.0,25.0,1.0,0.0,2.0,1125.0,281.0,42.0,1.0,3.5,0.05555555555555556,-0.035271673317189625,-0.15819164791716675,22.571428571428573,4.07753744390572,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,3.7612001156935624,1.5040773967762742
162.0,2.1726254301724186,1.0,70.0,40.0,2.0,44.0,1.0,1125.0,309.0,1.0,106.0,0.86,0.10000000000000002,-0.2311366974866552,-0.28200520000351526,19.428571428571427,4.2626798770413155,7.026426808699636,0.6931471805599453,3.8066624897703196,3.713572066704308,0.6931471805599453,0.6205764877251099
162.0,2.162173278684399,1.0,70.0,60.0,2.0,42.0,1.0,1125.0,291.0,0.0,106.0,1.2,0.10000000000000002,-0.057441668253428904,-0.2820052000035153,21.857142857142858,4.2626798770413155,7.026426808699636,0.6931471805599453,3.7612001156935624,4.110873864173311,0.0,0.7884573603642702
27.0,2.1674178103005888,2.0,229.0,79.0,2.0,39.0,2.0,1125.0,316.0,13.0,24.0,1.09,0.32222222222222224,-0.05357718554690901,0.6178523606385341,21.428571428571427,5.438079308923196,7.026426808699636,1.0986122886681098,3.6888794541139363,4.382026634673881,2.6390573296152584,0.7371640659767197
207.0,2.1551496361552136,1.0,149.0,55.0,1.0,0.0,2.0,1125.0,7.0,0.0,92.0,1.2,0.17777777777777778,-0.057441668253428904,-0.17003237813483246,21.857142857142858,5.0106352940962555,7.026426808699636,1.0986122886681098,0.0,4.02535169073515,0.0,0.7884573603642702
207.0,2.1495770732272166,1.0,106.0,25.0,1.0,0.0,2.0,1125.0,4.0,0.0,92.0,1.2,0.22222222222222224,-0.057441668253428904,-0.17603345682733082,21.857142857142858,4.672828834461906,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,0.0,0.7884573603642702
2.0,2.184229423120099,2.0,52.0,60.0,4.0,25.0,3.0,365.0,280.0,43.0,1.0,1.22,0.2555555555555556,0.29143304477638116,0.14415855886623824,20.857142857142858,3.970291913552122,5.902633333401366,1.3862943611198906,3.258096538021482,4.110873864173311,3.784189633918261,0.7975071958841881
1.0,2.171119080173705,1.0,45.0,30.0,1.0,20.0,3.0,7.0,66.0,29.0,1.0,0.64,0.05555555555555556,0.502228605049545,0.27563299751170606,22.285714285714285,3.828641396489095,2.0794415416798357,1.3862943611198906,3.044522437723423,3.4339872044851463,3.4011973816621555,0.49469624183610705
207.0,2.182981580546301,2.0,80.0,25.0,1.0,0.0,2.0,1125.0,2.0,1.0,92.0,0.33,0.22222222222222224,-0.21527333506544982,-0.17603345682733082,19.428571428571427,4.394449154672439,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,0.6931471805599453,0.2851789422336624
1.0,-97.76816361292846,2.0,795.0,250.0,1.0,0.0,3.0,1125.0,356.0,1.0,1.0,0.06,0.2555555555555556,-0.07873510851150388,-0.0508325226424255,22.857142857142858,6.679599185844383,7.026426808699636,1.3862943611198906,0.0,5.5254529391317835,0.6931471805599453,0.058268908123975775
1.0,4.865594943841575,1.0,100.0,25.0,1.0,0.0,2.0,1125.0,1.0,6.0,1.0,0.63,0.05555555555555556,-0.12421760321243047,-0.14873336432176626,20.142857142857142,4.61512051684126,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,1.9459101490553132,0.48858001481867097
1.0,4.4037291831801,1.0,64.0,25.0,1.0,0.0,60.0,1125.0,308.0,7.0,1.0,0.43,0.05555555555555556,-0.0609409924625573,0.1199720047240522,22.285714285714285,4.174387269895637,7.026426808699636,4.110873864173311,0.0,3.258096538021482,2.0794415416798357,0.3576744442718159
162.0,2.161538615651931,1.0,90.0,60.0,2.0,42.0,1.0,1125.0,326.0,0.0,106.0,1.2,0.10000000000000002,-0.057441668253428904,-0.28000484043934915,21.857142857142858,4.51085950651685,7.026426808699636,0.6931471805599453,3.7612001156935624,4.110873864173311,0.0,0.7884573603642702
207.0,2.1681677061165425,1.0,94.0,25.0,1.0,0.0,2.0,1125.0,0.0,1.0,92.0,0.39,0.1777777777777778,-0.2192391756707511,-0.17803381639149687,15.428571428571429,4.553876891600541,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,0.6931471805599453,0.3293037471426004
1.0,2.180874351470804,1.5,115.0,20.0,2.0,20.0,1.0,30.0,98.0,9.0,1.0,0.99,0.07777777777777779,-0.09606137217604155,0.18605155605043627,22.571428571428573,4.7535901911063645,3.4339872044851463,0.6931471805599453,3.044522437723423,3.044522437723423,2.302585092994046,0.688134638736401
27.0,2.1692269203074326,2.0,169.0,79.0,2.0,39.0,1.0,90.0,322.0,90.0,24.0,1.97,0.32222222222222224,0.49133254557602074,0.6198527202027003,21.285714285714285,5.135798437050262,4.51085950651685,0.6931471805599453,3.6888794541139363,4.382026634673881,4.51085950651685,1.0885619528146082
207.0,2.1685873390693984,1.0,94.0,25.0,1.0,0.0,2.0,1125.0,0.0,4.0,92.0,0.75,0.1777777777777778,-0.15810364541342195,-0.17603345682733082,21.714285714285715,4.553876891600541,7.026426808699636,1.0986122886681098,0.0,3.258096538021482,1.6094379124341003,0.5596157879354227
